Time,Mind,Shrek,Fidget,SaltBae
1/3/2016,6,20,0.2,0.2
1/10/2016,5,14,0.2,0.2
1/17/2016,7,15,0.2,0.2
1/24/2016,6,18,0.2,0.2
1/31/2016,8,15,0.2,0.2
2/7/2016,5,25,0.2,0
2/14/2016,4,22,0.2,0.2
2/21/2016,5,23,0.2,0.2
2/28/2016,6,23,0.2,0.2
3/6/2016,4,22,0.2,0.2
3/13/2016,6,20,0.2,0.2
3/20/2016,8,16,0.2,0.2
3/27/2016,6,20,0.2,0.2
4/3/2016,6,18,0.2,0.2
4/10/2016,6,22,0.2,0.2
4/17/2016,6,36,0.2,0.2
4/24/2016,6,29,0.2,0.2
5/1/2016,6,24,0.2,0.2
5/8/2016,7,21,0.2,0.2
5/15/2016,7,28,0.2,0.2
5/22/2016,8,25,0.2,0.2
5/29/2016,6,20,0.2,0.2
6/5/2016,5,37,0.2,0.2
6/12/2016,5,23,0.2,0.2
6/19/2016,4,26,0.2,0.2
6/26/2016,5,23,0.2,0.2
7/3/2016,5,20,0.2,0.2
7/10/2016,6,38,0.2,0.2
7/17/2016,5,27,0.2,0.2
7/24/2016,4,21,0.2,0.2
7/31/2016,4,20,0.2,0.2
8/7/2016,5,20,0.2,0.2
8/14/2016,3,24,0.2,1
8/21/2016,4,28,0.2,0.2
8/28/2016,5,28,0.2,0.2
9/4/2016,5,22,0.2,0.2
9/11/2016,4,25,0.2,0.2
9/18/2016,3,41,0.2,0.2
9/25/2016,6,27,0.2,0.2
10/2/2016,5,27,0.2,0
10/9/2016,6,25,0.2,0.2
10/16/2016,6,35,0.2,0.2
10/23/2016,5,35,0.2,0.2
10/30/2016,5,31,0.2,0.2
11/6/2016,4,26,0.2,0.2
11/13/2016,5,36,0.2,0.2
11/20/2016,5,33,0.2,0.2
11/27/2016,6,45,0.2,0.2
12/4/2016,5,35,0.2,0.2
12/11/2016,4,40,1,0.2
12/18/2016,3,32,1,0.2
12/25/2016,5,19,1,0.2
1/1/2017,4,33,1,0.2
1/8/2017,5,39,1,60
1/15/2017,4,29,1,100
1/22/2017,4,29,1,89
1/29/2017,6,34,2,87
2/5/2017,5,38,2,57
2/12/2017,5,43,3,47
2/19/2017,5,38,3,30
2/26/2017,4,33,4,26
3/5/2017,5,28,5,23
3/12/2017,6,27,5,17
3/19/2017,5,44,7,21
3/26/2017,6,34,13,17
4/2/2017,7,31,18,14
4/9/2017,8,34,23,14
4/16/2017,6,42,40,19
4/23/2017,7,28,77,12
4/30/2017,7,27,100,13
5/7/2017,6,39,97,10
5/14/2017,6,40,90,10
5/21/2017,6,42,75,11
5/28/2017,5,34,54,11
6/4/2017,4,32,40,9
6/11/2017,6,25,30,9
6/18/2017,4,25,27,8
6/25/2017,9,27,21,9
7/2/2017,4,27,17,10
7/9/2017,5,37,13,12
7/16/2017,7,29,12,8
7/23/2017,4,23,10,6
7/30/2017,4,18,9,6
8/6/2017,6,24,8,7
8/13/2017,5,35,7,5
8/20/2017,6,33,6,5
8/27/2017,7,28,5,6
9/3/2017,4,32,5,7
9/10/2017,4,30,5,7
9/17/2017,6,44,4,8
9/24/2017,6,37,4,6
10/1/2017,5,38,4,7
10/8/2017,5,43,4,8
10/15/2017,5,38,4,10
10/22/2017,7,44,4,18
10/29/2017,4,42,3,19
11/5/2017,6,36,3,10
11/12/2017,6,38,3,12
11/19/2017,5,30,3,12
11/26/2017,4,40,3,11
12/3/2017,7,39,3,16
12/10/2017,6,39,3,15
12/17/2017,5,42,3,20
12/24/2017,4,23,2,20
12/31/2017,4,37,2,20
1/7/2018,5,38,2,20
1/14/2018,6,34,2,21
1/21/2018,6,41,2,35
1/28/2018,5,40,2,31
2/4/2018,4,46,2,25
2/11/2018,6,48,2,29
2/18/2018,13,42,1,22
2/25/2018,61,41,1,19
3/4/2018,100,46,1,16
3/11/2018,88,45,1,14
3/18/2018,66,45,1,14
3/25/2018,56,36,1,19
4/1/2018,42,42,1,13
4/8/2018,35,44,1,13
4/15/2018,28,49,1,15
4/22/2018,28,52,1,12
4/29/2018,29,70,1,13
5/6/2018,27,79,1,11
5/13/2018,24,89,1,11
5/20/2018,23,69,1,11
5/27/2018,22,65,1,13
6/3/2018,22,52,1,14
6/10/2018,24,44,1,10
6/17/2018,24,37,1,10
6/24/2018,22,38,1,12
7/1/2018,23,39,1,15
7/8/2018,25,42,1,13
7/15/2018,23,40,1,14
7/22/2018,22,36,1,11
7/29/2018,22,35,1,11
8/5/2018,16,41,1,11
8/12/2018,20,47,1,9
8/19/2018,21,51,1,9
8/26/2018,21,58,1,8
9/2/2018,23,50,1,9
9/9/2018,22,61,1,8
9/16/2018,31,62,1,53
9/23/2018,27,63,1,16
9/30/2018,33,87,1,13
10/7/2018,32,65,1,11
10/14/2018,32,78,1,14
10/21/2018,29,77,1,15
10/28/2018,33,69,1,16
11/4/2018,29,86,1,15
11/11/2018,31,78,1,13
11/18/2018,34,76,1,15
11/25/2018,29,81,1,11
12/2/2018,27,87,1,10
12/9/2018,23,89,1,12
12/16/2018,21,80,1,10
12/23/2018,29,76,1,14
12/30/2018,27,100,1,13
